3.72,わー
5.899259,ます
13.89,今 で も ない です 午前 中 ゆっくり と いう か 僕 と いう か し て
22.035201,はい
25.95,なんか 今日 娘 が 午後 から もし ねー
29.34,ねー なー かー 午前 中 から もし な の か なぁ と 思っ たら 午後 から って いう こと に なっ て ね なんか 多い 朝 朝 ゆっくり し て ご飯 食べ たら いや なんか 午後 で なきゃ いけ ない から お 昼 も すぐ と か 言わ れ て また 食べ た ばっかり な 気 が する に また お 昼 と か 言っ て
48.72,みたい 大阪 から ご飯 作っ て 片付け て ご飯 作っ て 片付け て その 合間 に 味 みたい な そんな
57.69,なー そんな 感じ でし た
62.31,です ねぇ ちょっと で 出口 を か なぁ と 思っ て ます
67.44,ん
70.02,よろしく お 願い し
77.4,そう です に 週間 休み が 長い なぁ と 思い ながら も 休ん で まし た
86.34,の です 月曜日 から 仕事 で 今 ちょっと 恐れ おののい て ます ね もう 待っ て いる ん だ と 思っ て に です ね はい ね
99.78,そう です ねー
104.85,そう です ねー
109.71,そう です ねー あの まあ だ なぁ と 思っ て 東京 何 を 話し し よう か なぁ どんな 方向 に こう か なぁ と 思っ た ん です けれど も は ずーっと ちょっと モヤモヤ し て 応募 が あっ て なぁ それ です ね の 売れ か なぁ
126.93,未来 と いう か 俺 から の キャリア と いう の を 考える に あたっ て ちょっと モヤモヤ し て いる ところ で ちょっと そう いっ た ところ を なあ そう か なぁ と いう ふう に 思っ て い ます
142.41,何 か あの
145.68,どう 話せ ば いい 面白い えっとー 私 私 が その 仕事 に 就く 頃 って いう の は
